,date_local,latitude,longitude,arithmetic_mean,units_of_measure,sample_duration
59,2016-11-02,35.23918,-118.78863,0.129167,Parts per million,8-HR RUN AVG END HOUR
60,2016-11-01,35.23918,-118.78863,0.1,Parts per million,8-HR RUN AVG END HOUR
61,2016-10-31,35.23918,-118.78863,0.1,Parts per million,8-HR RUN AVG END HOUR
62,2016-10-30,35.23918,-118.78863,0.1125,Parts per million,8-HR RUN AVG END HOUR
63,2016-10-29,35.23918,-118.78863,0.125,Parts per million,8-HR RUN AVG END HOUR
64,2016-10-28,35.23918,-118.78863,0.1,Parts per million,8-HR RUN AVG END HOUR
65,2016-10-27,35.23918,-118.78863,0.175,Parts per million,8-HR RUN AVG END HOUR
66,2016-10-26,35.23918,-118.78863,0.129167,Parts per million,8-HR RUN AVG END HOUR
67,2016-10-25,35.23918,-118.78863,0.1,Parts per million,8-HR RUN AVG END HOUR
68,2016-10-24,35.23918,-118.78863,0.1,Parts per million,8-HR RUN AVG END HOUR
69,2016-10-23,35.23918,-118.78863,0.179167,Parts per million,8-HR RUN AVG END HOUR
70,2016-10-22,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
71,2016-10-21,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
72,2016-10-20,35.23918,-118.78863,0.175,Parts per million,8-HR RUN AVG END HOUR
73,2016-10-19,35.23918,-118.78863,0.158333,Parts per million,8-HR RUN AVG END HOUR
74,2016-10-18,35.23918,-118.78863,0.133333,Parts per million,8-HR RUN AVG END HOUR
75,2016-10-17,35.23918,-118.78863,0.1,Parts per million,8-HR RUN AVG END HOUR
76,2016-10-16,35.23918,-118.78863,0.116667,Parts per million,8-HR RUN AVG END HOUR
77,2016-10-15,35.23918,-118.78863,0.104167,Parts per million,8-HR RUN AVG END HOUR
78,2016-10-14,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
79,2016-10-13,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
80,2016-10-12,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
81,2016-10-11,35.23918,-118.78863,0.15,Parts per million,8-HR RUN AVG END HOUR
82,2016-10-10,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
83,2016-10-09,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
84,2016-10-08,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
85,2016-10-07,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
86,2016-10-06,35.23918,-118.78863,0.179167,Parts per million,8-HR RUN AVG END HOUR
87,2016-10-05,35.23918,-118.78863,0.3,Parts per million,8-HR RUN AVG END HOUR
88,2016-10-04,35.23918,-118.78863,0.220833,Parts per million,8-HR RUN AVG END HOUR
89,2016-10-03,35.23918,-118.78863,0.166667,Parts per million,8-HR RUN AVG END HOUR
90,2016-10-02,35.23918,-118.78863,0.1875,Parts per million,8-HR RUN AVG END HOUR
91,2016-10-01,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
92,2016-09-30,35.23918,-118.78863,0.158333,Parts per million,8-HR RUN AVG END HOUR
93,2016-09-29,35.23918,-118.78863,0.1,Parts per million,8-HR RUN AVG END HOUR
94,2016-09-28,35.23918,-118.78863,0.154167,Parts per million,8-HR RUN AVG END HOUR
95,2016-09-27,35.23918,-118.78863,0.129167,Parts per million,8-HR RUN AVG END HOUR
96,2016-09-26,35.23918,-118.78863,0.129167,Parts per million,8-HR RUN AVG END HOUR
97,2016-09-25,35.23918,-118.78863,0.145833,Parts per million,8-HR RUN AVG END HOUR
98,2016-09-24,35.23918,-118.78863,0.125,Parts per million,8-HR RUN AVG END HOUR
99,2016-09-23,35.23918,-118.78863,0.1,Parts per million,8-HR RUN AVG END HOUR
100,2016-09-22,35.23918,-118.78863,0.1,Parts per million,8-HR RUN AVG END HOUR
101,2016-09-21,35.23918,-118.78863,0.1625,Parts per million,8-HR RUN AVG END HOUR
102,2016-09-20,35.23918,-118.78863,0.420833,Parts per million,8-HR RUN AVG END HOUR
103,2016-09-19,35.23918,-118.78863,0.2625,Parts per million,8-HR RUN AVG END HOUR
104,2016-09-18,35.23918,-118.78863,0.304167,Parts per million,8-HR RUN AVG END HOUR
105,2016-09-17,35.23918,-118.78863,0.541667,Parts per million,8-HR RUN AVG END HOUR
106,2016-09-16,35.23918,-118.78863,0.279167,Parts per million,8-HR RUN AVG END HOUR
107,2016-09-15,35.23918,-118.78863,0.1375,Parts per million,8-HR RUN AVG END HOUR
108,2016-09-14,35.23918,-118.78863,0.1,Parts per million,8-HR RUN AVG END HOUR
109,2016-09-13,35.23918,-118.78863,0.1,Parts per million,8-HR RUN AVG END HOUR
110,2016-09-12,35.23918,-118.78863,0.158333,Parts per million,8-HR RUN AVG END HOUR
111,2016-09-11,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
112,2016-09-10,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
113,2016-09-09,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
114,2016-09-08,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
115,2016-09-07,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
116,2016-09-06,35.23918,-118.78863,0.129167,Parts per million,8-HR RUN AVG END HOUR
117,2016-09-05,35.23918,-118.78863,0.1,Parts per million,8-HR RUN AVG END HOUR
118,2016-09-04,35.23918,-118.78863,0.108333,Parts per million,8-HR RUN AVG END HOUR
119,2016-09-03,35.23918,-118.78863,0.145833,Parts per million,8-HR RUN AVG END HOUR
120,2016-09-02,35.23918,-118.78863,0.1,Parts per million,8-HR RUN AVG END HOUR
121,2016-09-01,35.23918,-118.78863,0.1,Parts per million,8-HR RUN AVG END HOUR
122,2016-08-31,35.23918,-118.78863,0.141667,Parts per million,8-HR RUN AVG END HOUR
123,2016-08-30,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
124,2016-08-29,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
125,2016-08-28,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
126,2016-08-27,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
127,2016-08-26,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
128,2016-08-25,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
129,2016-08-24,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
130,2016-08-23,35.23918,-118.78863,0.175,Parts per million,8-HR RUN AVG END HOUR
131,2016-08-22,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
132,2016-08-21,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
133,2016-08-20,35.23918,-118.78863,0.233333,Parts per million,8-HR RUN AVG END HOUR
134,2016-08-19,35.23918,-118.78863,0.1625,Parts per million,8-HR RUN AVG END HOUR
135,2016-08-18,35.23918,-118.78863,0.175,Parts per million,8-HR RUN AVG END HOUR
136,2016-08-17,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
137,2016-08-16,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
138,2016-08-15,35.23918,-118.78863,0.175,Parts per million,8-HR RUN AVG END HOUR
139,2016-08-14,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
140,2016-08-13,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
141,2016-08-12,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
142,2016-08-11,35.23918,-118.78863,0.170833,Parts per million,8-HR RUN AVG END HOUR
143,2016-08-10,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
144,2016-08-09,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
145,2016-08-08,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
146,2016-08-07,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
147,2016-08-06,35.23918,-118.78863,0.2,Parts per million,8-HR RUN AVG END HOUR
