,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2018-10-10 00:00:00+00:00,2192.77,708.24,319.0,50.47,11.57,2.13,11.57,2.13
1,2018-10-11 00:00:00+00:00,,,,,,,,
2,2018-10-12 00:00:00+00:00,,,,,,,,
3,2018-10-13 00:00:00+00:00,,,,,,,,
4,2018-10-14 00:00:00+00:00,,,,,,,,
5,2018-10-15 00:00:00+00:00,,,,,,,,
6,2018-10-16 00:00:00+00:00,,,,,,,,
7,2018-10-17 00:00:00+00:00,,,,,,,,
8,2018-10-18 00:00:00+00:00,,,,,,,,
9,2018-10-19 00:00:00+00:00,,,,,,,,
10,2018-10-20 00:00:00+00:00,,,,,,,,
11,2018-10-21 00:00:00+00:00,,,,,,,,
12,2018-10-22 00:00:00+00:00,,,,,,,,
13,2018-10-23 00:00:00+00:00,,,,,,,,
14,2018-10-24 00:00:00+00:00,,,,,,,,
15,2018-10-25 00:00:00+00:00,,,,,,,,
16,2018-10-26 00:00:00+00:00,,,,,,,,
17,2018-10-27 00:00:00+00:00,,,,,,,,
18,2018-10-28 00:00:00+00:00,,,,,,,,
19,2018-10-29 00:00:00+00:00,,,,,,,,
20,2018-10-30 00:00:00+00:00,,,,,,,,
21,2018-10-31 00:00:00+00:00,,,,,,,,
22,2018-11-01 00:00:00+00:00,,,,,,,,
23,2018-11-02 00:00:00+00:00,,,,,,,,
24,2018-11-03 00:00:00+00:00,,,,,,,,
25,2018-11-04 00:00:00+00:00,,,,,,,,
26,2018-11-05 00:00:00+00:00,,,,,,,,
27,2018-11-06 00:00:00+00:00,,,,,,,,
28,2018-11-07 00:00:00+00:00,,,,,,,,
29,2018-11-08 00:00:00+00:00,,,,,,,,
30,2018-11-09 00:00:00+00:00,,,,,,,,
31,2018-11-10 00:00:00+00:00,,,,,,,,
32,2018-11-11 00:00:00+00:00,,,,,,,,
33,2018-11-12 00:00:00+00:00,,,,,,,,
