,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2018-08-03 00:00:00+00:00,2745.15,865.34,277.35,34.41,9.65,4.13,9.65,4.13
1,2018-08-04 00:00:00+00:00,1822.83,574.13,135.09,8.52,3.61,1.13,3.61,1.13
2,2018-08-05 00:00:00+00:00,,,,,,,,
3,2018-08-06 00:00:00+00:00,,,,,,,,
4,2018-08-07 00:00:00+00:00,,,,,,,,
5,2018-08-08 00:00:00+00:00,,,,,,,,
6,2018-08-09 00:00:00+00:00,,,,,,,,
7,2018-08-10 00:00:00+00:00,,,,,,,,
8,2018-08-11 00:00:00+00:00,,,,,,,,
9,2018-08-12 00:00:00+00:00,,,,,,,,
10,2018-08-13 00:00:00+00:00,,,,,,,,
11,2018-08-14 00:00:00+00:00,,,,,,,,
12,2018-08-15 00:00:00+00:00,,,,,,,,
13,2018-08-16 00:00:00+00:00,,,,,,,,
14,2018-08-17 00:00:00+00:00,,,,,,,,
15,2018-08-18 00:00:00+00:00,,,,,,,,
16,2018-08-19 00:00:00+00:00,,,,,,,,
17,2018-08-20 00:00:00+00:00,,,,,,,,
18,2018-08-21 00:00:00+00:00,,,,,,,,
19,2018-08-22 00:00:00+00:00,,,,,,,,
20,2018-08-23 00:00:00+00:00,,,,,,,,
21,2018-08-24 00:00:00+00:00,,,,,,,,
22,2018-08-25 00:00:00+00:00,,,,,,,,
23,2018-08-26 00:00:00+00:00,,,,,,,,
24,2018-08-27 00:00:00+00:00,,,,,,,,
25,2018-08-28 00:00:00+00:00,,,,,,,,
26,2018-08-29 00:00:00+00:00,,,,,,,,
27,2018-08-30 00:00:00+00:00,,,,,,,,
28,2018-08-31 00:00:00+00:00,,,,,,,,
29,2018-09-01 00:00:00+00:00,,,,,,,,
30,2018-09-02 00:00:00+00:00,,,,,,,,
31,2018-09-03 00:00:00+00:00,,,,,,,,
32,2018-09-04 00:00:00+00:00,,,,,,,,
33,2018-09-05 00:00:00+00:00,,,,,,,,
34,2018-09-06 00:00:00+00:00,,,,,,,,
35,2018-09-07 00:00:00+00:00,,,,,,,,
36,2018-09-08 00:00:00+00:00,,,,,,,,
37,2018-09-09 00:00:00+00:00,,,,,,,,
38,2018-09-10 00:00:00+00:00,,,,,,,,
39,2018-09-11 00:00:00+00:00,,,,,,,,
40,2018-09-12 00:00:00+00:00,,,,,,,,
41,2018-09-13 00:00:00+00:00,,,,,,,,
42,2018-09-14 00:00:00+00:00,,,,,,,,
43,2018-09-15 00:00:00+00:00,151.34,46.11,6.54,0.86,0.54,0.5,0.54,0.5
44,2018-09-16 00:00:00+00:00,289.22,88.89,14.08,1.19,0.7,0.6,0.7,0.6
45,2018-09-17 00:00:00+00:00,351.4,108.37,17.86,1.3,0.69,0.6,0.69,0.6
46,2018-09-18 00:00:00+00:00,574.8,176.49,29.35,2.35,0.9,0.65,0.9,0.65
47,2018-09-19 00:00:00+00:00,784.7,240.93,40.03,3.02,0.97,0.69,0.97,0.69
48,2018-09-20 00:00:00+00:00,977.83,299.51,44.95,3.0,1.01,0.74,1.01,0.74
49,2018-09-21 00:00:00+00:00,1281.18,392.34,56.05,3.4,1.03,0.72,1.03,0.72
50,2018-09-22 00:00:00+00:00,1422.24,437.61,70.73,4.54,1.3,0.8,1.3,0.8
51,2018-09-23 00:00:00+00:00,429.27,131.37,19.95,1.5,0.73,0.61,0.73,0.61
52,2018-09-24 00:00:00+00:00,545.62,167.01,25.99,2.01,0.83,0.68,0.83,0.68
