id,parent,lat,lon,name,location_type,pm_2.5,temp_f,temp_c,humidity,pressure,p_0_3_um,p_0_5_um,p_1_0_um,p_2_5_um,p_5_0_um,p_10_0_um,pm1_0_cf_1,pm2_5_cf_1,pm10_0_cf_1,pm1_0_atm,pm2_5_atm,pm10_0_atm,last_seen,model,adc,rssi,hidden,flagged,downgraded,age,brightness,hardware,version,last_update_check,created,uptime,is_owner,10min_avg,30min_avg,1hour_avg,6hour_avg,1day_avg,1week_avg
39481,,34.162206,-119.04565,CSUCI1,outside,19.37,90.0,32.22222222222222,22.0,1012.12,,,,,,,,,,,,,2020-10-15 20:30:20,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,20.29,21.65,22.7,22.82,20.0,24.74
47831,,37.656229,-122.053982,CSUEB #1,outside,2.38,103.0,39.44444444444444,7.0,995.75,,,,,,,,,,,,,2020-10-15 20:29:55,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,1.54,1.42,1.39,3.31,12.68,12.68
80887,,33.930193,-117.262471,CSUEB Sensor 1,outside,9.42,103.0,39.44444444444444,8.0,958.5,,,,,,,,,,,,,2020-10-15 20:30:37,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,10.16,10.56,11.95,18.18,11.71,2.43
29697,,34.238179,-118.528333,CSUN Live Oak,outside,5.16,122.0,50.0,4.0,984.06,,,,,,,,,,,,,2020-10-15 20:30:40,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,6.27,10.14,13.51,18.35,17.68,24.76
5084,,37.523303,-120.855535,CSUStan Naraghi Roof,outside,1.82,104.0,40.0,13.0,1010.53,,,,,,,,,,,,,2020-10-15 20:30:14,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,0.76,0.86,0.84,1.14,2.14,9.27
17513,,37.526471,-120.858289,CSUSTAN-CDC,outside,4.02,90.0,32.22222222222222,22.0,1012.17,,,,,,,,,,,,,2020-10-15 20:29:56,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,4.46,4.78,4.36,4.9,9.6,32.22
18371,,30.494911,-98.231878,CT@HPT,outside,8.72,,,,,,,,,,,,,,,,,2020-10-15 20:31:37,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,9.23,9.75,11.48,15.18,12.15,12.39
69909,,37.785941,-122.438118,CTC 1770 Scott,outside,3.1,97.0,36.111111111111114,8.0,1010.98,,,,,,,,,,,,,2020-10-15 20:31:23,PMS5003+PMS5003+BME280,,,False,True,False,0,,,,,,,False,2.79,3.14,4.54,8.54,8.65,12.5
15495,,43.381855,-124.264006,CTCLUSI Admin,outside,0.22,103.0,39.44444444444444,15.0,1021.4,,,,,,,,,,,,,2020-10-15 20:31:16,PMS5003+PMS5003+BME280,,,False,False,False,0,,,,,,,False,0.15,0.3,0.7,2.0,2.69,13.61
6624,,41.758087,-73.082923,CTRAWSP PM MONITOR #1,outside,3.67,79.0,26.11111111111111,62.0,979.45,,,,,,,,,,,,,2020-10-15 20:29:45,PMS5003+PMS5003+BME280,,,False,False,False,1,,,,,,,False,3.5,3.67,4.31,4.85,3.71,5.7
