,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2020-09-24 00:00:00+00:00,11414.99,3484.69,758.36,58.73,11.9,6.98,50.52,85.78
1,2020-09-25 00:00:00+00:00,,,,,,,,
2,2020-09-26 00:00:00+00:00,,,,,,,,
3,2020-09-27 00:00:00+00:00,,,,,,,,
4,2020-09-28 00:00:00+00:00,,,,,,,,
5,2020-09-29 00:00:00+00:00,,,,,,,,
6,2020-09-30 00:00:00+00:00,1649.65,480.06,61.5,3.33,0.62,0.37,8.45,11.79
7,2020-10-01 00:00:00+00:00,13478.21,4064.7,872.77,81.4,19.03,11.04,53.68,96.51
