,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2020-09-08 00:00:00+00:00,12486.82,3688.36,828.18,66.31,14.93,7.85,50.49,89.16
1,2020-09-09 00:00:00+00:00,1493.76,421.6,87.91,7.69,2.32,1.07,7.08,13.64
2,2020-09-10 00:00:00+00:00,,,,,,,,
3,2020-09-11 00:00:00+00:00,,,,,,,,
4,2020-09-12 00:00:00+00:00,,,,,,,,
5,2020-09-13 00:00:00+00:00,,,,,,,,
6,2020-09-14 00:00:00+00:00,,,,,,,,
7,2020-09-15 00:00:00+00:00,,,,,,,,
8,2020-09-16 00:00:00+00:00,,,,,,,,
9,2020-09-17 00:00:00+00:00,,,,,,,,
10,2020-09-18 00:00:00+00:00,,,,,,,,
11,2020-09-19 00:00:00+00:00,550.05,155.78,29.49,2.34,0.63,0.4,2.09,4.13
12,2020-09-20 00:00:00+00:00,3570.67,1031.64,215.25,13.18,2.68,1.54,16.39,29.94
13,2020-09-21 00:00:00+00:00,5988.94,1730.52,382.03,25.74,5.27,3.01,27.38,53.19
14,2020-09-22 00:00:00+00:00,1216.11,348.69,68.89,4.66,1.13,0.68,5.61,10.43
15,2020-09-23 00:00:00+00:00,254.11,69.02,6.75,0.74,0.28,0.18,0.45,0.96
16,2020-09-24 00:00:00+00:00,244.93,64.17,5.92,0.52,0.16,0.1,0.46,0.83
17,2020-09-25 00:00:00+00:00,1088.94,305.43,48.97,3.6,1.17,0.78,4.85,8.45
18,2020-09-26 00:00:00+00:00,3317.75,948.17,153.93,7.92,1.73,1.06,13.56,22.16
19,2020-09-27 00:00:00+00:00,1337.68,376.42,55.15,3.25,0.94,0.61,6.58,10.03
20,2020-09-28 00:00:00+00:00,2923.79,811.7,99.31,4.39,1.15,0.74,14.49,20.9
21,2020-09-29 00:00:00+00:00,4487.24,1265.88,190.15,8.38,1.86,1.14,21.29,33.3
22,2020-09-30 00:00:00+00:00,10194.19,3000.52,694.39,47.96,9.0,4.87,43.08,77.98
23,2020-10-01 00:00:00+00:00,13476.11,3950.42,920.4,64.05,12.01,6.65,52.38,94.67
