,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2018-11-30 00:00:00+00:00,5605.77,1740.07,700.83,131.18,30.21,10.11,30.21,10.11
1,2018-12-01 00:00:00+00:00,8135.91,3309.24,2090.6,629.24,150.07,46.17,150.07,46.17
2,2018-12-02 00:00:00+00:00,,,,,,,,
3,2018-12-03 00:00:00+00:00,,,,,,,,
4,2018-12-04 00:00:00+00:00,,,,,,,,
5,2018-12-05 00:00:00+00:00,,,,,,,,
6,2018-12-06 00:00:00+00:00,,,,,,,,
7,2018-12-07 00:00:00+00:00,,,,,,,,
8,2018-12-08 00:00:00+00:00,,,,,,,,
9,2018-12-09 00:00:00+00:00,,,,,,,,
10,2018-12-10 00:00:00+00:00,2774.69,790.38,144.45,12.67,2.15,0.88,2.15,0.88
11,2018-12-11 00:00:00+00:00,2970.42,853.08,165.88,16.4,2.98,1.07,2.98,1.07
12,2018-12-12 00:00:00+00:00,1899.17,540.75,96.61,9.83,1.94,0.84,1.94,0.84
13,2018-12-13 00:00:00+00:00,1316.12,366.87,53.84,5.7,1.36,0.78,1.36,0.78
14,2018-12-14 00:00:00+00:00,2684.32,765.85,146.52,15.37,3.09,1.12,3.09,1.12
15,2018-12-15 00:00:00+00:00,1038.39,291.39,48.55,6.57,1.77,0.89,1.77,0.89
16,2018-12-16 00:00:00+00:00,802.97,224.13,34.28,4.3,1.25,0.84,1.25,0.84
17,2018-12-17 00:00:00+00:00,443.41,125.34,24.51,3.59,1.1,0.72,1.1,0.72
18,2018-12-18 00:00:00+00:00,632.58,177.72,36.11,5.71,1.6,0.87,1.6,0.87
19,2018-12-19 00:00:00+00:00,751.24,210.02,35.11,4.31,1.22,0.73,1.22,0.73
20,2018-12-20 00:00:00+00:00,1992.78,569.73,113.28,11.95,2.32,0.94,2.32,0.94
21,2018-12-21 00:00:00+00:00,3319.77,952.66,192.95,19.46,3.56,1.18,3.56,1.18
22,2018-12-22 00:00:00+00:00,1121.34,312.9,41.61,3.58,0.95,0.62,0.95,0.62
23,2018-12-23 00:00:00+00:00,1128.87,311.62,40.05,3.84,1.04,0.69,1.17,1.0
24,2018-12-24 00:00:00+00:00,1391.41,385.55,52.05,5.23,1.32,0.72,7.48,11.94
25,2018-12-25 00:00:00+00:00,489.79,138.85,32.12,6.21,1.89,0.93,1.69,5.64
26,2018-12-26 00:00:00+00:00,891.55,249.2,42.27,5.74,1.56,0.79,4.16,8.63
