,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2020-09-04 00:00:00+00:00,8622.88,2540.07,661.22,65.73,13.09,8.28,34.37,70.03
1,2020-09-05 00:00:00+00:00,,,,,,,,
2,2020-09-06 00:00:00+00:00,,,,,,,,
3,2020-09-07 00:00:00+00:00,,,,,,,,
4,2020-09-08 00:00:00+00:00,,,,,,,,
5,2020-09-09 00:00:00+00:00,,,,,,,,
6,2020-09-10 00:00:00+00:00,,,,,,,,
7,2020-09-11 00:00:00+00:00,,,,,,,,
8,2020-09-12 00:00:00+00:00,,,,,,,,
9,2020-09-13 00:00:00+00:00,,,,,,,,
10,2020-09-14 00:00:00+00:00,,,,,,,,
11,2020-09-15 00:00:00+00:00,,,,,,,,
12,2020-09-16 00:00:00+00:00,,,,,,,,
13,2020-09-17 00:00:00+00:00,,,,,,,,
14,2020-09-18 00:00:00+00:00,,,,,,,,
15,2020-09-19 00:00:00+00:00,,,,,,,,
16,2020-09-20 00:00:00+00:00,,,,,,,,
17,2020-09-21 00:00:00+00:00,,,,,,,,
18,2020-09-22 00:00:00+00:00,,,,,,,,
19,2020-09-23 00:00:00+00:00,,,,,,,,
20,2020-09-24 00:00:00+00:00,,,,,,,,
21,2020-09-25 00:00:00+00:00,,,,,,,,
22,2020-09-26 00:00:00+00:00,,,,,,,,
23,2020-09-27 00:00:00+00:00,,,,,,,,
24,2020-09-28 00:00:00+00:00,,,,,,,,
25,2020-09-29 00:00:00+00:00,3445.66,983.59,204.83,16.23,2.99,1.81,15.55,28.91
26,2020-09-30 00:00:00+00:00,2750.67,789.95,190.59,19.54,3.84,2.43,13.82,28.62
27,2020-10-01 00:00:00+00:00,7660.88,2215.72,546.76,50.31,8.45,4.96,31.01,61.87
