,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2020-09-21 00:00:00+00:00,20288.27,6187.45,1215.64,97.3,28.34,7.84,85.64,146.22
1,2020-09-22 00:00:00+00:00,8706.9,2681.98,718.84,78.24,23.47,6.87,36.67,78.27
2,2020-09-23 00:00:00+00:00,,,,,,,,
3,2020-09-24 00:00:00+00:00,,,,,,,,
4,2020-09-25 00:00:00+00:00,,,,,,,,
5,2020-09-26 00:00:00+00:00,,,,,,,,
6,2020-09-27 00:00:00+00:00,,,,,,,,
7,2020-09-28 00:00:00+00:00,,,,,,,,
8,2020-09-29 00:00:00+00:00,1471.3,420.52,62.66,4.97,1.79,0.73,7.48,11.96
9,2020-09-30 00:00:00+00:00,2910.47,859.74,195.03,18.7,5.19,1.59,14.56,28.57
10,2020-10-01 00:00:00+00:00,9415.8,2820.61,724.09,84.51,26.7,8.19,38.06,83.13
