,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2018-12-14 00:00:00+00:00,8152.48,2628.79,999.15,161.9,41.65,24.1,41.65,24.1
1,2018-12-15 00:00:00+00:00,,,,,,,,
2,2018-12-16 00:00:00+00:00,,,,,,,,
3,2018-12-17 00:00:00+00:00,,,,,,,,
4,2018-12-18 00:00:00+00:00,,,,,,,,
5,2018-12-19 00:00:00+00:00,,,,,,,,
6,2018-12-20 00:00:00+00:00,,,,,,,,
7,2018-12-21 00:00:00+00:00,,,,,,,,
8,2018-12-22 00:00:00+00:00,,,,,,,,
9,2018-12-23 00:00:00+00:00,,,,,,,,
10,2018-12-24 00:00:00+00:00,,,,,,,,
11,2018-12-25 00:00:00+00:00,,,,,,,,
12,2018-12-26 00:00:00+00:00,,,,,,,,
13,2018-12-27 00:00:00+00:00,,,,,,,,
14,2018-12-28 00:00:00+00:00,,,,,,,,
15,2018-12-29 00:00:00+00:00,,,,,,,,
16,2018-12-30 00:00:00+00:00,,,,,,,,
17,2018-12-31 00:00:00+00:00,,,,,,,,
18,2019-01-01 00:00:00+00:00,,,,,,,,
19,2019-01-02 00:00:00+00:00,,,,,,,,
20,2019-01-03 00:00:00+00:00,,,,,,,,
21,2019-01-04 00:00:00+00:00,,,,,,,,
22,2019-01-05 00:00:00+00:00,,,,,,,,
23,2019-01-06 00:00:00+00:00,,,,,,,,
24,2019-01-07 00:00:00+00:00,,,,,,,,
25,2019-01-08 00:00:00+00:00,,,,,,,,
26,2019-01-09 00:00:00+00:00,,,,,,,,
27,2019-01-10 00:00:00+00:00,,,,,,,,
28,2019-01-11 00:00:00+00:00,,,,,,,,
29,2019-01-12 00:00:00+00:00,,,,,,,,
30,2019-01-13 00:00:00+00:00,,,,,,,,
31,2019-01-14 00:00:00+00:00,,,,,,,,
32,2019-01-15 00:00:00+00:00,,,,,,,,
33,2019-01-16 00:00:00+00:00,,,,,,,,
34,2019-01-17 00:00:00+00:00,,,,,,,,
35,2019-01-18 00:00:00+00:00,,,,,,,,
36,2019-01-19 00:00:00+00:00,,,,,,,,
37,2019-01-20 00:00:00+00:00,,,,,,,,
38,2019-01-21 00:00:00+00:00,,,,,,,,
39,2019-01-22 00:00:00+00:00,,,,,,,,
40,2019-01-23 00:00:00+00:00,,,,,,,,
41,2019-01-24 00:00:00+00:00,,,,,,,,
42,2019-01-25 00:00:00+00:00,,,,,,,,
43,2019-01-26 00:00:00+00:00,,,,,,,,
44,2019-01-27 00:00:00+00:00,,,,,,,,
45,2019-01-28 00:00:00+00:00,,,,,,,,
46,2019-01-29 00:00:00+00:00,,,,,,,,
47,2019-01-30 00:00:00+00:00,,,,,,,,
48,2019-01-31 00:00:00+00:00,,,,,,,,
49,2019-02-01 00:00:00+00:00,,,,,,,,
50,2019-02-02 00:00:00+00:00,,,,,,,,
51,2019-02-03 00:00:00+00:00,,,,,,,,
52,2019-02-04 00:00:00+00:00,,,,,,,,
