,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2018-05-01 00:00:00+00:00,,,,,,,,
1,2018-05-02 00:00:00+00:00,,,,,,,,
2,2018-05-03 00:00:00+00:00,,,,,,,,
3,2018-05-04 00:00:00+00:00,,,,,,,,
4,2018-05-05 00:00:00+00:00,,,,,,,,
5,2018-05-06 00:00:00+00:00,,,,,,,,
6,2018-05-07 00:00:00+00:00,,,,,,,,
7,2018-05-08 00:00:00+00:00,,,,,,,,
8,2018-05-09 00:00:00+00:00,,,,,,,,
9,2018-05-10 00:00:00+00:00,,,,,,,,
10,2018-05-11 00:00:00+00:00,,,,,,,,
11,2018-05-12 00:00:00+00:00,,,,,,,,
12,2018-05-13 00:00:00+00:00,,,,,,,,
13,2018-05-14 00:00:00+00:00,,,,,,,,
14,2018-05-15 00:00:00+00:00,,,,,,,,
15,2018-05-16 00:00:00+00:00,,,,,,,,
16,2018-05-17 00:00:00+00:00,,,,,,,,
17,2018-05-18 00:00:00+00:00,,,,,,,,
18,2018-05-19 00:00:00+00:00,,,,,,,,
19,2018-05-20 00:00:00+00:00,,,,,,,,
20,2018-05-21 00:00:00+00:00,,,,,,,,
21,2018-05-22 00:00:00+00:00,,,,,,,,
22,2018-05-23 00:00:00+00:00,,,,,,,,
23,2018-05-24 00:00:00+00:00,,,,,,,,
24,2018-05-25 00:00:00+00:00,,,,,,,,
25,2018-05-26 00:00:00+00:00,,,,,,,,
26,2018-05-27 00:00:00+00:00,,,,,,,,
27,2018-05-28 00:00:00+00:00,,,,,,,,
28,2018-05-29 00:00:00+00:00,,,,,,,,
29,2018-05-30 00:00:00+00:00,,,,,,,,
30,2018-05-31 00:00:00+00:00,,,,,,,,
31,2018-06-01 00:00:00+00:00,,,,,,,,
32,2018-06-02 00:00:00+00:00,,,,,,,,
33,2018-06-03 00:00:00+00:00,,,,,,,,
34,2018-06-04 00:00:00+00:00,,,,,,,,
35,2018-06-05 00:00:00+00:00,,,,,,,,
36,2018-06-06 00:00:00+00:00,,,,,,,,
37,2018-06-07 00:00:00+00:00,,,,,,,,
38,2018-06-08 00:00:00+00:00,,,,,,,,
39,2018-06-09 00:00:00+00:00,,,,,,,,
40,2018-06-10 00:00:00+00:00,,,,,,,,
41,2018-06-11 00:00:00+00:00,,,,,,,,
42,2018-06-12 00:00:00+00:00,,,,,,,,
43,2018-06-13 00:00:00+00:00,,,,,,,,
44,2018-06-14 00:00:00+00:00,,,,,,,,
45,2018-06-15 00:00:00+00:00,,,,,,,,
46,2018-06-16 00:00:00+00:00,,,,,,,,
47,2018-06-17 00:00:00+00:00,,,,,,,,
48,2018-06-18 00:00:00+00:00,,,,,,,,
49,2018-06-19 00:00:00+00:00,,,,,,,,
50,2018-06-20 00:00:00+00:00,,,,,,,,
51,2018-06-21 00:00:00+00:00,,,,,,,,
52,2018-06-22 00:00:00+00:00,,,,,,,,
53,2018-06-23 00:00:00+00:00,,,,,,,,
54,2018-06-24 00:00:00+00:00,,,,,,,,
55,2018-06-25 00:00:00+00:00,,,,,,,,
56,2018-06-26 00:00:00+00:00,,,,,,,,
57,2018-06-27 00:00:00+00:00,,,,,,,,
58,2018-06-28 00:00:00+00:00,,,,,,,,
59,2018-06-29 00:00:00+00:00,,,,,,,,
