,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2018-11-15 00:00:00+00:00,2994.73,874.26,222.89,26.92,7.55,3.39,7.55,3.39
1,2018-11-16 00:00:00+00:00,,,,,,,,
2,2018-11-17 00:00:00+00:00,,,,,,,,
3,2018-11-18 00:00:00+00:00,,,,,,,,
4,2018-11-19 00:00:00+00:00,,,,,,,,
5,2018-11-20 00:00:00+00:00,,,,,,,,
6,2018-11-21 00:00:00+00:00,,,,,,,,
7,2018-11-22 00:00:00+00:00,,,,,,,,
8,2018-11-23 00:00:00+00:00,,,,,,,,
9,2018-11-24 00:00:00+00:00,,,,,,,,
10,2018-11-25 00:00:00+00:00,,,,,,,,
11,2018-11-26 00:00:00+00:00,,,,,,,,
12,2018-11-27 00:00:00+00:00,,,,,,,,
13,2018-11-28 00:00:00+00:00,,,,,,,,
14,2018-11-29 00:00:00+00:00,,,,,,,,
15,2018-11-30 00:00:00+00:00,,,,,,,,
16,2018-12-01 00:00:00+00:00,,,,,,,,
17,2018-12-02 00:00:00+00:00,,,,,,,,
18,2018-12-03 00:00:00+00:00,,,,,,,,
19,2018-12-04 00:00:00+00:00,,,,,,,,
20,2018-12-05 00:00:00+00:00,,,,,,,,
21,2018-12-06 00:00:00+00:00,,,,,,,,
22,2018-12-07 00:00:00+00:00,,,,,,,,
23,2018-12-08 00:00:00+00:00,,,,,,,,
24,2018-12-09 00:00:00+00:00,,,,,,,,
25,2018-12-10 00:00:00+00:00,,,,,,,,
26,2018-12-11 00:00:00+00:00,,,,,,,,
27,2018-12-12 00:00:00+00:00,,,,,,,,
28,2018-12-13 00:00:00+00:00,,,,,,,,
29,2018-12-14 00:00:00+00:00,,,,,,,,
30,2018-12-15 00:00:00+00:00,,,,,,,,
31,2018-12-16 00:00:00+00:00,,,,,,,,
32,2018-12-17 00:00:00+00:00,,,,,,,,
33,2018-12-18 00:00:00+00:00,,,,,,,,
34,2018-12-19 00:00:00+00:00,,,,,,,,
35,2018-12-20 00:00:00+00:00,,,,,,,,
36,2018-12-21 00:00:00+00:00,,,,,,,,
37,2018-12-22 00:00:00+00:00,,,,,,,,
38,2018-12-23 00:00:00+00:00,,,,,,,,
39,2018-12-24 00:00:00+00:00,,,,,,,,
40,2018-12-25 00:00:00+00:00,,,,,,,,
41,2018-12-26 00:00:00+00:00,,,,,,,,
42,2018-12-27 00:00:00+00:00,,,,,,,,
43,2018-12-28 00:00:00+00:00,,,,,,,,
44,2018-12-29 00:00:00+00:00,,,,,,,,
45,2018-12-30 00:00:00+00:00,,,,,,,,
46,2018-12-31 00:00:00+00:00,604.73,165.31,25.36,2.68,0.98,0.6,2.56,4.75
47,2019-01-01 00:00:00+00:00,324.42,86.77,9.46,0.86,0.42,0.34,1.12,1.69
48,2019-01-02 00:00:00+00:00,1231.64,332.55,38.21,2.56,0.83,0.51,5.92,8.74
49,2019-01-03 00:00:00+00:00,1986.44,541.83,73.04,4.86,1.37,0.71,10.39,15.52
