,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2020-09-04 00:00:00+00:00,15686.96,4484.19,721.77,41.66,7.22,1.96,62.63,93.64
1,2020-09-05 00:00:00+00:00,,,,,,,,
2,2020-09-06 00:00:00+00:00,,,,,,,,
3,2020-09-07 00:00:00+00:00,,,,,,,,
4,2020-09-08 00:00:00+00:00,,,,,,,,
5,2020-09-09 00:00:00+00:00,,,,,,,,
6,2020-09-10 00:00:00+00:00,,,,,,,,
7,2020-09-11 00:00:00+00:00,10626.59,3117.97,949.82,102.3,22.8,7.65,41.3,97.26
8,2020-09-12 00:00:00+00:00,15479.36,4579.55,1536.51,180.44,40.03,13.44,57.14,146.5
9,2020-09-13 00:00:00+00:00,10718.19,3158.99,1035.64,116.11,26.49,9.4,39.67,99.38
10,2020-09-14 00:00:00+00:00,10439.3,3062.27,1060.07,149.44,40.79,15.82,38.13,107.93
11,2020-09-15 00:00:00+00:00,8884.06,2592.56,906.34,127.02,32.83,12.32,33.12,93.02
12,2020-09-16 00:00:00+00:00,1714.83,494.03,130.73,13.21,3.21,1.23,8.69,19.45
13,2020-09-17 00:00:00+00:00,726.95,208.44,44.09,4.18,1.11,0.45,3.09,6.57
14,2020-09-18 00:00:00+00:00,1094.93,319.09,86.44,8.85,2.16,0.79,5.1,12.29
15,2020-09-19 00:00:00+00:00,1303.34,375.77,99.22,11.27,2.9,1.14,6.25,14.9
16,2020-09-20 00:00:00+00:00,2034.05,578.81,126.49,11.31,2.96,1.16,10.58,20.38
17,2020-09-21 00:00:00+00:00,1691.91,484.99,108.31,8.69,2.07,0.76,8.75,16.75
18,2020-09-22 00:00:00+00:00,1434.8,412.93,95.05,9.38,2.53,0.98,7.17,14.91
19,2020-09-23 00:00:00+00:00,681.15,195.29,38.46,5.09,1.82,0.78,2.76,6.45
20,2020-09-24 00:00:00+00:00,620.67,180.43,38.22,4.94,1.6,0.68,2.43,5.97
21,2020-09-25 00:00:00+00:00,707.12,205.38,52.39,9.09,3.35,1.48,2.78,8.82
22,2020-09-26 00:00:00+00:00,939.24,268.78,65.38,11.11,4.07,1.78,3.98,11.22
23,2020-09-27 00:00:00+00:00,1195.1,339.83,75.46,10.59,3.7,1.59,5.55,13.12
24,2020-09-28 00:00:00+00:00,1967.32,555.81,99.38,9.85,3.09,1.31,10.03,18.27
25,2020-09-29 00:00:00+00:00,1002.95,287.36,59.44,3.78,0.81,0.3,4.8,8.76
26,2020-09-30 00:00:00+00:00,1768.23,511.56,119.86,9.39,2.19,0.87,9.2,18.04
27,2020-10-01 00:00:00+00:00,7255.89,2109.82,521.87,43.06,9.25,3.27,30.35,62.46
