,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2018-09-28 00:00:00+00:00,2132.49,688.24,185.31,25.25,4.11,0.4,4.11,0.4
1,2018-09-29 00:00:00+00:00,,,,,,,,
2,2018-09-30 00:00:00+00:00,,,,,,,,
3,2018-10-01 00:00:00+00:00,,,,,,,,
4,2018-10-02 00:00:00+00:00,,,,,,,,
5,2018-10-03 00:00:00+00:00,,,,,,,,
6,2018-10-04 00:00:00+00:00,,,,,,,,
7,2018-10-05 00:00:00+00:00,,,,,,,,
8,2018-10-06 00:00:00+00:00,,,,,,,,
9,2018-10-07 00:00:00+00:00,,,,,,,,
10,2018-10-08 00:00:00+00:00,,,,,,,,
11,2018-10-09 00:00:00+00:00,,,,,,,,
12,2018-10-10 00:00:00+00:00,,,,,,,,
13,2018-10-11 00:00:00+00:00,,,,,,,,
14,2018-10-12 00:00:00+00:00,,,,,,,,
15,2018-10-13 00:00:00+00:00,,,,,,,,
16,2018-10-14 00:00:00+00:00,,,,,,,,
17,2018-10-15 00:00:00+00:00,,,,,,,,
18,2018-10-16 00:00:00+00:00,,,,,,,,
19,2018-10-17 00:00:00+00:00,,,,,,,,
20,2018-10-18 00:00:00+00:00,,,,,,,,
21,2018-10-19 00:00:00+00:00,,,,,,,,
22,2018-10-20 00:00:00+00:00,,,,,,,,
23,2018-10-21 00:00:00+00:00,,,,,,,,
24,2018-10-22 00:00:00+00:00,,,,,,,,
25,2018-10-23 00:00:00+00:00,,,,,,,,
26,2018-10-24 00:00:00+00:00,,,,,,,,
27,2018-10-25 00:00:00+00:00,,,,,,,,
28,2018-10-26 00:00:00+00:00,,,,,,,,
29,2018-10-27 00:00:00+00:00,,,,,,,,
30,2018-10-28 00:00:00+00:00,,,,,,,,
31,2018-10-29 00:00:00+00:00,,,,,,,,
32,2018-10-30 00:00:00+00:00,,,,,,,,
33,2018-10-31 00:00:00+00:00,,,,,,,,
34,2018-11-01 00:00:00+00:00,,,,,,,,
35,2018-11-02 00:00:00+00:00,,,,,,,,
36,2018-11-03 00:00:00+00:00,,,,,,,,
37,2018-11-04 00:00:00+00:00,,,,,,,,
38,2018-11-05 00:00:00+00:00,,,,,,,,
39,2018-11-06 00:00:00+00:00,,,,,,,,
40,2018-11-07 00:00:00+00:00,,,,,,,,
41,2018-11-08 00:00:00+00:00,,,,,,,,
42,2018-11-09 00:00:00+00:00,,,,,,,,
43,2018-11-10 00:00:00+00:00,,,,,,,,
44,2018-11-11 00:00:00+00:00,,,,,,,,
45,2018-11-12 00:00:00+00:00,,,,,,,,
46,2018-11-13 00:00:00+00:00,,,,,,,,
47,2018-11-14 00:00:00+00:00,,,,,,,,
48,2018-11-15 00:00:00+00:00,,,,,,,,
49,2018-11-16 00:00:00+00:00,,,,,,,,
50,2018-11-17 00:00:00+00:00,,,,,,,,
51,2018-11-18 00:00:00+00:00,,,,,,,,
52,2018-11-19 00:00:00+00:00,,,,,,,,
53,2018-11-20 00:00:00+00:00,,,,,,,,
54,2018-11-21 00:00:00+00:00,,,,,,,,
55,2018-11-22 00:00:00+00:00,,,,,,,,
56,2018-11-23 00:00:00+00:00,,,,,,,,
57,2018-11-24 00:00:00+00:00,,,,,,,,
58,2018-11-25 00:00:00+00:00,,,,,,,,
59,2018-11-26 00:00:00+00:00,,,,,,,,
60,2018-11-27 00:00:00+00:00,,,,,,,,
61,2018-11-28 00:00:00+00:00,,,,,,,,
62,2018-11-29 00:00:00+00:00,,,,,,,,
63,2018-11-30 00:00:00+00:00,,,,,,,,
64,2018-12-01 00:00:00+00:00,,,,,,,,
65,2018-12-02 00:00:00+00:00,,,,,,,,
66,2018-12-03 00:00:00+00:00,,,,,,,,
67,2018-12-04 00:00:00+00:00,,,,,,,,
68,2018-12-05 00:00:00+00:00,,,,,,,,
69,2018-12-06 00:00:00+00:00,,,,,,,,
70,2018-12-07 00:00:00+00:00,,,,,,,,
71,2018-12-08 00:00:00+00:00,,,,,,,,
72,2018-12-09 00:00:00+00:00,,,,,,,,
73,2018-12-10 00:00:00+00:00,,,,,,,,
74,2018-12-11 00:00:00+00:00,,,,,,,,
75,2018-12-12 00:00:00+00:00,,,,,,,,
76,2018-12-13 00:00:00+00:00,,,,,,,,
77,2018-12-14 00:00:00+00:00,,,,,,,,
78,2018-12-15 00:00:00+00:00,,,,,,,,
79,2018-12-16 00:00:00+00:00,,,,,,,,
80,2018-12-17 00:00:00+00:00,,,,,,,,
81,2018-12-18 00:00:00+00:00,,,,,,,,
