,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2020-04-29 00:00:00+00:00,7297.7,1957.05,159.7,8.6,1.14,0.52,26.93,33.76
1,2020-04-30 00:00:00+00:00,243.36,58.27,6.0,0.58,0.18,0.11,0.16,0.63
2,2020-05-01 00:00:00+00:00,17178.83,4464.45,242.62,12.06,1.41,0.66,58.94,70.84
3,2020-05-02 00:00:00+00:00,,,,,,,,
4,2020-05-03 00:00:00+00:00,417.31,116.04,21.9,2.41,0.68,0.47,1.36,3.09
5,2020-05-04 00:00:00+00:00,,,,,,,,
6,2020-05-05 00:00:00+00:00,,,,,,,,
7,2020-05-06 00:00:00+00:00,,,,,,,,
8,2020-05-07 00:00:00+00:00,,,,,,,,
9,2020-05-08 00:00:00+00:00,,,,,,,,
10,2020-05-09 00:00:00+00:00,,,,,,,,
11,2020-05-10 00:00:00+00:00,,,,,,,,
12,2020-05-11 00:00:00+00:00,,,,,,,,
13,2020-05-12 00:00:00+00:00,,,,,,,,
14,2020-05-13 00:00:00+00:00,,,,,,,,
15,2020-05-14 00:00:00+00:00,,,,,,,,
16,2020-05-15 00:00:00+00:00,,,,,,,,
17,2020-05-16 00:00:00+00:00,,,,,,,,
18,2020-05-17 00:00:00+00:00,,,,,,,,
19,2020-05-18 00:00:00+00:00,,,,,,,,
20,2020-05-19 00:00:00+00:00,,,,,,,,
21,2020-05-20 00:00:00+00:00,,,,,,,,
22,2020-05-21 00:00:00+00:00,,,,,,,,
23,2020-05-22 00:00:00+00:00,,,,,,,,
24,2020-05-23 00:00:00+00:00,,,,,,,,
25,2020-05-24 00:00:00+00:00,,,,,,,,
26,2020-05-25 00:00:00+00:00,,,,,,,,
27,2020-05-26 00:00:00+00:00,,,,,,,,
28,2020-05-27 00:00:00+00:00,,,,,,,,
29,2020-05-28 00:00:00+00:00,,,,,,,,
30,2020-05-29 00:00:00+00:00,,,,,,,,
31,2020-05-30 00:00:00+00:00,,,,,,,,
32,2020-05-31 00:00:00+00:00,,,,,,,,
33,2020-06-01 00:00:00+00:00,,,,,,,,
34,2020-06-02 00:00:00+00:00,,,,,,,,
35,2020-06-03 00:00:00+00:00,,,,,,,,
36,2020-06-04 00:00:00+00:00,,,,,,,,
37,2020-06-05 00:00:00+00:00,,,,,,,,
38,2020-06-06 00:00:00+00:00,,,,,,,,
39,2020-06-07 00:00:00+00:00,,,,,,,,
40,2020-06-08 00:00:00+00:00,,,,,,,,
41,2020-06-09 00:00:00+00:00,,,,,,,,
42,2020-06-10 00:00:00+00:00,,,,,,,,
43,2020-06-11 00:00:00+00:00,,,,,,,,
44,2020-06-12 00:00:00+00:00,,,,,,,,
45,2020-06-13 00:00:00+00:00,,,,,,,,
46,2020-06-14 00:00:00+00:00,,,,,,,,
47,2020-06-15 00:00:00+00:00,,,,,,,,
48,2020-06-16 00:00:00+00:00,,,,,,,,
49,2020-06-17 00:00:00+00:00,,,,,,,,
50,2020-06-18 00:00:00+00:00,,,,,,,,
51,2020-06-19 00:00:00+00:00,,,,,,,,
52,2020-06-20 00:00:00+00:00,,,,,,,,
53,2020-06-21 00:00:00+00:00,,,,,,,,
