,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2020-09-14 00:00:00+00:00,13531.41,4042.94,841.99,53.13,8.85,3.71,56.01,89.77
1,2020-09-15 00:00:00+00:00,342.69,38.91,0.0,0.0,0.0,0.0,0.03,0.03
2,2020-09-16 00:00:00+00:00,,,,,,,,
3,2020-09-17 00:00:00+00:00,263.71,68.61,12.92,1.28,0.32,0.15,0.58,1.94
4,2020-09-18 00:00:00+00:00,986.51,289.84,76.44,6.41,1.39,0.68,4.73,10.07
5,2020-09-19 00:00:00+00:00,1391.18,408.47,96.96,7.3,1.61,0.8,7.21,13.67
6,2020-09-20 00:00:00+00:00,5303.1,1565.86,358.7,23.66,3.95,1.81,25.17,47.32
7,2020-09-21 00:00:00+00:00,5281.55,1561.62,367.08,25.43,4.48,2.1,25.56,49.88
8,2020-09-22 00:00:00+00:00,857.36,248.02,52.84,3.68,0.78,0.39,3.76,7.25
9,2020-09-23 00:00:00+00:00,190.68,48.82,6.44,0.6,0.18,0.1,0.12,0.52
10,2020-09-24 00:00:00+00:00,223.23,58.99,9.61,0.79,0.19,0.1,0.36,0.93
11,2020-09-25 00:00:00+00:00,855.24,245.54,47.24,3.42,0.89,0.49,4.01,7.08
12,2020-09-26 00:00:00+00:00,2542.89,742.03,144.76,8.35,1.48,0.72,10.26,17.57
13,2020-09-27 00:00:00+00:00,995.01,286.19,51.05,3.14,0.76,0.41,4.68,7.66
14,2020-09-28 00:00:00+00:00,554.82,148.21,22.56,1.15,0.28,0.16,3.34,5.29
15,2020-09-29 00:00:00+00:00,840.04,224.05,38.21,2.22,0.55,0.3,5.34,8.96
16,2020-09-30 00:00:00+00:00,2400.49,658.16,130.05,9.73,2.25,1.19,16.88,30.16
17,2020-10-01 00:00:00+00:00,10643.77,3146.15,765.74,58.33,9.43,4.18,45.52,84.13
