,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2020-02-27 00:00:00+00:00,1929.77,597.48,190.1,47.57,14.69,1.72,6.74,23.88
1,2020-02-28 00:00:00+00:00,344.17,98.95,9.96,1.4,0.25,0.04,0.98,1.84
2,2020-02-29 00:00:00+00:00,,,,,,,,
3,2020-03-01 00:00:00+00:00,,,,,,,,
4,2020-03-02 00:00:00+00:00,,,,,,,,
5,2020-03-03 00:00:00+00:00,,,,,,,,
6,2020-03-04 00:00:00+00:00,,,,,,,,
7,2020-03-05 00:00:00+00:00,630.2,185.55,16.91,2.03,0.59,0.07,2.6,3.84
8,2020-03-06 00:00:00+00:00,,,,,,,,
9,2020-03-07 00:00:00+00:00,,,,,,,,
10,2020-03-08 00:00:00+00:00,,,,,,,,
11,2020-03-09 00:00:00+00:00,,,,,,,,
12,2020-03-10 00:00:00+00:00,,,,,,,,
13,2020-03-11 00:00:00+00:00,,,,,,,,
14,2020-03-12 00:00:00+00:00,,,,,,,,
15,2020-03-13 00:00:00+00:00,,,,,,,,
16,2020-03-14 00:00:00+00:00,,,,,,,,
17,2020-03-15 00:00:00+00:00,,,,,,,,
18,2020-03-16 00:00:00+00:00,,,,,,,,
19,2020-03-17 00:00:00+00:00,,,,,,,,
20,2020-03-18 00:00:00+00:00,,,,,,,,
21,2020-03-19 00:00:00+00:00,,,,,,,,
22,2020-03-20 00:00:00+00:00,,,,,,,,
23,2020-03-21 00:00:00+00:00,,,,,,,,
24,2020-03-22 00:00:00+00:00,,,,,,,,
25,2020-03-23 00:00:00+00:00,,,,,,,,
26,2020-03-24 00:00:00+00:00,,,,,,,,
27,2020-03-25 00:00:00+00:00,,,,,,,,
28,2020-03-26 00:00:00+00:00,,,,,,,,
29,2020-03-27 00:00:00+00:00,,,,,,,,
30,2020-03-28 00:00:00+00:00,,,,,,,,
31,2020-03-29 00:00:00+00:00,,,,,,,,
32,2020-03-30 00:00:00+00:00,,,,,,,,
33,2020-03-31 00:00:00+00:00,,,,,,,,
34,2020-04-01 00:00:00+00:00,,,,,,,,
35,2020-04-02 00:00:00+00:00,,,,,,,,
36,2020-04-03 00:00:00+00:00,,,,,,,,
37,2020-04-04 00:00:00+00:00,,,,,,,,
38,2020-04-05 00:00:00+00:00,,,,,,,,
39,2020-04-06 00:00:00+00:00,,,,,,,,
40,2020-04-07 00:00:00+00:00,,,,,,,,
41,2020-04-08 00:00:00+00:00,,,,,,,,
42,2020-04-09 00:00:00+00:00,,,,,,,,
43,2020-04-10 00:00:00+00:00,,,,,,,,
44,2020-04-11 00:00:00+00:00,,,,,,,,
45,2020-04-12 00:00:00+00:00,,,,,,,,
46,2020-04-13 00:00:00+00:00,,,,,,,,
47,2020-04-14 00:00:00+00:00,,,,,,,,
48,2020-04-15 00:00:00+00:00,,,,,,,,
49,2020-04-16 00:00:00+00:00,,,,,,,,
50,2020-04-17 00:00:00+00:00,,,,,,,,
51,2020-04-18 00:00:00+00:00,,,,,,,,
52,2020-04-19 00:00:00+00:00,,,,,,,,
53,2020-04-20 00:00:00+00:00,,,,,,,,
54,2020-04-21 00:00:00+00:00,,,,,,,,
55,2020-04-22 00:00:00+00:00,,,,,,,,
56,2020-04-23 00:00:00+00:00,,,,,,,,
57,2020-04-24 00:00:00+00:00,,,,,,,,
58,2020-04-25 00:00:00+00:00,,,,,,,,
59,2020-04-26 00:00:00+00:00,,,,,,,,
60,2020-04-27 00:00:00+00:00,,,,,,,,
61,2020-04-28 00:00:00+00:00,,,,,,,,
62,2020-04-29 00:00:00+00:00,,,,,,,,
63,2020-04-30 00:00:00+00:00,296.0,89.13,17.61,3.16,0.95,0.12,0.6,2.34
64,2020-05-01 00:00:00+00:00,236.41,71.01,10.71,1.46,0.37,0.04,0.39,1.23
65,2020-05-02 00:00:00+00:00,226.54,67.3,9.21,1.26,0.38,0.05,0.39,1.08
66,2020-05-03 00:00:00+00:00,254.6,75.63,10.51,1.48,0.43,0.06,0.52,1.34
67,2020-05-04 00:00:00+00:00,311.62,93.67,14.1,1.85,0.47,0.06,0.77,1.9
68,2020-05-05 00:00:00+00:00,395.07,112.37,13.93,1.38,0.31,0.03,1.19,2.14
69,2020-05-06 00:00:00+00:00,397.64,118.86,17.2,2.1,0.54,0.07,1.24,2.61
70,2020-05-07 00:00:00+00:00,316.51,95.03,15.54,2.27,0.6,0.07,0.78,2.13
71,2020-05-08 00:00:00+00:00,455.58,136.11,20.36,2.51,0.65,0.07,1.53,3.2
72,2020-05-09 00:00:00+00:00,634.38,189.25,25.61,2.75,0.68,0.09,2.61,4.54
73,2020-05-10 00:00:00+00:00,671.56,200.0,27.5,3.38,0.98,0.13,2.78,5.05
74,2020-05-11 00:00:00+00:00,479.09,142.1,18.26,2.42,0.75,0.1,1.79,3.31
75,2020-05-12 00:00:00+00:00,221.18,66.17,10.74,1.95,0.68,0.1,0.51,1.42
