,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2020-09-02 00:00:00+00:00,10932.97,3146.72,524.15,37.41,8.55,1.69,44.01,68.82
1,2020-09-03 00:00:00+00:00,376.7,106.98,21.05,1.64,0.64,0.0,0.43,2.34
2,2020-09-04 00:00:00+00:00,,,,,,,,
3,2020-09-05 00:00:00+00:00,,,,,,,,
4,2020-09-06 00:00:00+00:00,,,,,,,,
5,2020-09-07 00:00:00+00:00,,,,,,,,
6,2020-09-08 00:00:00+00:00,,,,,,,,
7,2020-09-09 00:00:00+00:00,,,,,,,,
8,2020-09-10 00:00:00+00:00,,,,,,,,
9,2020-09-11 00:00:00+00:00,,,,,,,,
10,2020-09-12 00:00:00+00:00,14427.97,4265.62,1192.11,137.74,37.87,8.07,54.62,122.69
11,2020-09-13 00:00:00+00:00,13858.06,4122.79,1246.67,162.24,42.17,8.98,51.42,127.32
12,2020-09-14 00:00:00+00:00,12438.17,3699.97,1164.63,187.33,63.12,16.91,45.39,127.17
13,2020-09-15 00:00:00+00:00,4332.11,1277.99,374.25,60.19,16.85,4.23,20.21,51.25
14,2020-09-16 00:00:00+00:00,555.15,161.9,43.32,6.51,2.02,0.5,2.12,6.34
15,2020-09-17 00:00:00+00:00,274.47,79.44,19.04,2.03,0.61,0.15,0.71,2.18
16,2020-09-18 00:00:00+00:00,920.67,269.0,71.71,10.1,2.78,0.68,4.14,10.85
17,2020-09-19 00:00:00+00:00,1342.7,387.24,86.14,11.4,3.2,0.86,6.63,14.3
18,2020-09-20 00:00:00+00:00,3231.49,934.17,202.45,24.94,5.48,1.24,16.54,32.91
19,2020-09-21 00:00:00+00:00,8490.64,2483.31,597.51,69.2,16.12,3.32,34.14,70.88
20,2020-09-22 00:00:00+00:00,470.29,135.68,33.1,4.92,1.92,0.54,1.61,4.96
21,2020-09-23 00:00:00+00:00,217.61,62.26,12.95,1.8,0.79,0.25,0.32,1.49
22,2020-09-24 00:00:00+00:00,207.34,59.58,13.35,1.73,0.67,0.19,0.33,1.46
23,2020-09-25 00:00:00+00:00,487.57,140.89,36.74,7.43,3.31,1.07,1.62,6.2
24,2020-09-26 00:00:00+00:00,364.09,104.56,25.14,4.63,2.0,0.65,1.03,3.92
25,2020-09-27 00:00:00+00:00,1318.27,373.44,64.3,7.1,2.14,0.57,6.57,11.7
26,2020-09-28 00:00:00+00:00,4112.26,1162.99,181.37,18.72,4.17,0.97,18.97,33.26
27,2020-09-29 00:00:00+00:00,3436.73,982.6,180.57,20.22,4.56,1.09,18.49,32.79
28,2020-09-30 00:00:00+00:00,2264.33,652.09,133.4,12.54,2.84,0.62,10.78,20.02
29,2020-10-01 00:00:00+00:00,7414.68,2171.01,539.9,58.44,13.28,2.65,31.03,64.0
