,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2018-12-11 00:00:00+00:00,6159.15,1868.15,766.69,162.75,27.08,15.61,27.08,15.61
1,2018-12-12 00:00:00+00:00,,,,,,,,
2,2018-12-13 00:00:00+00:00,,,,,,,,
3,2018-12-14 00:00:00+00:00,,,,,,,,
4,2018-12-15 00:00:00+00:00,,,,,,,,
5,2018-12-16 00:00:00+00:00,,,,,,,,
6,2018-12-17 00:00:00+00:00,,,,,,,,
7,2018-12-18 00:00:00+00:00,,,,,,,,
8,2018-12-19 00:00:00+00:00,,,,,,,,
9,2018-12-20 00:00:00+00:00,,,,,,,,
10,2018-12-21 00:00:00+00:00,,,,,,,,
11,2018-12-22 00:00:00+00:00,,,,,,,,
12,2018-12-23 00:00:00+00:00,,,,,,,,
13,2018-12-24 00:00:00+00:00,,,,,,,,
14,2018-12-25 00:00:00+00:00,,,,,,,,
15,2018-12-26 00:00:00+00:00,,,,,,,,
16,2018-12-27 00:00:00+00:00,,,,,,,,
17,2018-12-28 00:00:00+00:00,,,,,,,,
18,2018-12-29 00:00:00+00:00,,,,,,,,
19,2018-12-30 00:00:00+00:00,,,,,,,,
20,2018-12-31 00:00:00+00:00,,,,,,,,
21,2019-01-01 00:00:00+00:00,,,,,,,,
22,2019-01-02 00:00:00+00:00,,,,,,,,
23,2019-01-03 00:00:00+00:00,,,,,,,,
24,2019-01-04 00:00:00+00:00,,,,,,,,
25,2019-01-05 00:00:00+00:00,,,,,,,,
26,2019-01-06 00:00:00+00:00,,,,,,,,
27,2019-01-07 00:00:00+00:00,,,,,,,,
28,2019-01-08 00:00:00+00:00,,,,,,,,
29,2019-01-09 00:00:00+00:00,,,,,,,,
30,2019-01-10 00:00:00+00:00,,,,,,,,
31,2019-01-11 00:00:00+00:00,,,,,,,,
32,2019-01-12 00:00:00+00:00,,,,,,,,
33,2019-01-13 00:00:00+00:00,,,,,,,,
34,2019-01-14 00:00:00+00:00,,,,,,,,
35,2019-01-15 00:00:00+00:00,1668.95,381.73,57.65,14.71,3.94,2.52,5.9,13.93
36,2019-01-16 00:00:00+00:00,1125.25,270.22,71.62,25.41,7.45,5.01,3.57,16.08
37,2019-01-17 00:00:00+00:00,1189.73,342.79,123.12,42.22,11.47,7.52,4.55,24.79
38,2019-01-18 00:00:00+00:00,2845.17,715.95,199.96,61.84,15.55,10.21,10.71,38.92
39,2019-01-19 00:00:00+00:00,2403.25,606.92,145.05,40.8,9.96,6.52,9.12,28.68
40,2019-01-20 00:00:00+00:00,1540.29,426.87,116.32,32.03,7.93,5.21,6.1,20.89
41,2019-01-21 00:00:00+00:00,296.2,78.63,24.84,7.95,2.43,1.69,0.5,4.44
42,2019-01-22 00:00:00+00:00,1627.86,411.41,37.67,12.7,2.85,1.96,5.29,11.65
43,2019-01-23 00:00:00+00:00,1413.61,324.52,34.69,9.87,2.17,1.5,4.35,9.33
44,2019-01-24 00:00:00+00:00,2567.82,601.43,63.4,15.87,3.48,2.34,8.39,17.34
45,2019-01-25 00:00:00+00:00,1751.07,404.07,54.59,13.13,3.13,2.07,5.94,13.12
46,2019-01-26 00:00:00+00:00,3054.25,709.3,83.21,17.59,3.31,2.16,10.56,20.29
47,2019-01-27 00:00:00+00:00,2314.65,630.88,107.36,19.77,3.36,2.18,10.6,21.24
48,2019-01-28 00:00:00+00:00,1371.04,346.27,58.92,16.16,3.83,2.55,4.99,13.14
49,2019-01-29 00:00:00+00:00,1221.48,312.49,45.64,9.04,2.14,1.49,4.73,9.73
50,2019-01-30 00:00:00+00:00,2102.43,563.45,103.89,18.81,2.74,1.76,9.45,19.88
51,2019-01-31 00:00:00+00:00,2300.18,623.45,104.55,21.04,4.02,2.57,9.97,21.54
52,2019-02-01 00:00:00+00:00,1158.89,320.93,79.48,17.08,3.65,2.39,4.63,13.37
53,2019-02-02 00:00:00+00:00,1153.77,278.65,63.59,21.36,5.78,3.91,3.59,14.2
54,2019-02-03 00:00:00+00:00,977.78,252.69,55.39,18.42,5.01,3.37,3.22,12.49
55,2019-02-04 00:00:00+00:00,524.51,106.35,22.29,7.76,2.47,1.72,1.02,4.75
56,2019-02-05 00:00:00+00:00,750.94,119.29,12.03,3.57,1.18,0.96,1.4,3.01
57,2019-02-06 00:00:00+00:00,792.0,195.81,20.86,6.25,1.76,1.28,2.53,5.71
58,2019-02-07 00:00:00+00:00,2551.91,581.27,38.89,9.1,1.86,1.32,8.17,13.87
59,2019-02-08 00:00:00+00:00,2184.51,579.25,86.21,15.83,2.59,1.67,10.4,19.95
60,2019-02-09 00:00:00+00:00,1573.76,385.96,46.68,8.55,1.59,1.15,6.45,11.46
61,2019-02-10 00:00:00+00:00,801.09,166.83,23.77,8.08,2.13,1.51,1.84,5.74
62,2019-02-11 00:00:00+00:00,856.2,187.47,30.52,7.89,2.0,1.4,2.51,6.73
63,2019-02-12 00:00:00+00:00,1552.06,413.81,60.57,11.12,2.1,1.4,7.31,13.97
64,2019-02-13 00:00:00+00:00,1975.21,537.78,101.03,26.35,5.72,3.74,9.56,23.95
65,2019-02-14 00:00:00+00:00,1377.08,301.14,70.05,23.7,6.69,4.49,3.89,15.68
66,2019-02-15 00:00:00+00:00,1727.91,393.43,36.73,12.91,3.36,2.23,4.69,11.36
67,2019-02-16 00:00:00+00:00,1526.78,384.66,43.33,13.98,3.69,2.47,5.18,12.73
68,2019-02-17 00:00:00+00:00,4154.55,788.08,28.61,12.72,1.94,1.34,9.66,15.8
69,2019-02-18 00:00:00+00:00,771.88,175.86,27.23,8.48,2.11,1.46,2.09,6.3
70,2019-02-19 00:00:00+00:00,1871.91,423.3,27.3,7.87,1.66,1.15,5.63,9.9
71,2019-02-20 00:00:00+00:00,2163.45,429.77,17.41,5.45,1.68,1.22,5.39,8.85
72,2019-02-21 00:00:00+00:00,257.25,60.68,16.93,5.46,1.69,1.28,0.47,2.92
73,2019-02-22 00:00:00+00:00,1387.75,343.41,35.73,6.92,1.51,1.12,4.63,8.45
74,2019-02-23 00:00:00+00:00,1167.7,294.46,41.92,9.24,1.94,1.34,4.23,9.47
75,2019-02-24 00:00:00+00:00,972.64,249.84,37.38,8.15,2.03,1.4,3.67,8.23
76,2019-02-25 00:00:00+00:00,754.85,195.72,34.43,9.9,3.01,2.06,2.57,7.77
77,2019-02-26 00:00:00+00:00,1710.39,378.84,82.85,29.37,8.46,5.61,5.12,19.66
78,2019-02-27 00:00:00+00:00,926.4,234.0,72.64,26.09,7.72,5.18,2.98,15.97
79,2019-02-28 00:00:00+00:00,486.83,128.98,25.07,6.47,1.81,1.27,1.35,4.77
80,2019-03-01 00:00:00+00:00,1535.29,321.35,36.24,11.85,2.19,1.5,4.51,9.97
81,2019-03-02 00:00:00+00:00,2326.82,510.97,49.97,11.1,2.28,1.53,7.58,14.09
82,2019-03-03 00:00:00+00:00,1078.54,257.92,50.88,10.61,2.44,1.66,3.85,9.63
83,2019-03-04 00:00:00+00:00,662.1,161.2,32.53,8.18,2.29,1.59,1.95,6.32
84,2019-03-05 00:00:00+00:00,1018.0,260.15,41.81,8.34,1.94,1.31,3.97,8.66
85,2019-03-06 00:00:00+00:00,721.96,187.9,51.76,18.4,5.36,3.6,2.22,11.29
86,2019-03-07 00:00:00+00:00,979.52,237.11,20.56,7.08,1.82,1.32,2.7,6.17
87,2019-03-08 00:00:00+00:00,680.36,139.56,10.63,3.37,1.19,0.93,1.63,3.21
88,2019-03-09 00:00:00+00:00,1262.3,264.32,17.34,5.2,1.67,1.21,3.35,6.24
89,2019-03-10 00:00:00+00:00,1387.44,316.04,52.97,14.01,3.56,2.42,4.77,12.49
90,2019-03-11 00:00:00+00:00,1070.39,249.21,42.89,11.23,2.69,1.83,3.37,9.37
91,2019-03-12 00:00:00+00:00,1797.84,400.77,50.84,16.44,4.11,2.71,5.25,13.57
92,2019-03-13 00:00:00+00:00,796.92,188.09,36.72,12.28,3.14,2.09,2.12,8.13
93,2019-03-14 00:00:00+00:00,1299.42,332.14,61.43,18.33,4.46,2.94,4.59,14.14
94,2019-03-15 00:00:00+00:00,867.61,227.68,40.67,11.77,2.81,1.89,2.88,8.8
95,2019-03-16 00:00:00+00:00,3122.29,750.47,52.9,13.88,3.12,2.08,9.32,16.87
96,2019-03-17 00:00:00+00:00,2394.21,587.27,60.64,15.42,3.31,2.16,8.75,17.18
97,2019-03-18 00:00:00+00:00,2161.58,584.89,101.01,21.92,4.59,3.01,9.61,21.09
98,2019-03-19 00:00:00+00:00,3595.88,925.13,155.53,25.73,2.83,1.68,15.33,29.97
99,2019-03-20 00:00:00+00:00,1836.31,410.75,53.32,15.36,3.77,2.51,5.57,13.38
100,2019-03-21 00:00:00+00:00,1024.47,243.54,41.28,11.35,2.91,2.01,3.19,9.06
101,2019-03-22 00:00:00+00:00,2379.53,521.86,58.32,18.25,4.19,2.78,7.11,16.22
102,2019-03-23 00:00:00+00:00,1905.09,443.85,52.64,16.14,3.89,2.59,6.15,14.33
103,2019-03-24 00:00:00+00:00,2422.85,573.45,69.81,18.36,4.19,2.8,8.06,17.99
104,2019-03-25 00:00:00+00:00,1415.54,308.77,58.21,13.91,3.45,2.28,4.48,11.8
105,2019-03-26 00:00:00+00:00,1338.61,332.12,39.54,9.76,2.39,1.68,4.6,9.89
106,2019-03-27 00:00:00+00:00,922.02,215.85,31.08,8.91,2.59,1.79,2.63,7.18
107,2019-03-28 00:00:00+00:00,3572.34,810.8,28.77,9.52,2.55,1.71,10.24,16.02
108,2019-03-29 00:00:00+00:00,1731.75,438.9,35.74,11.63,2.38,1.61,5.95,11.84
109,2019-03-30 00:00:00+00:00,794.42,194.4,31.13,9.01,2.51,1.75,2.29,7.03
110,2019-03-31 00:00:00+00:00,1936.09,449.14,34.7,10.0,2.61,1.76,5.94,11.67
111,2019-04-01 00:00:00+00:00,1554.39,356.63,52.65,14.58,3.91,2.59,5.03,12.7
112,2019-04-02 00:00:00+00:00,1253.34,341.41,58.78,16.57,3.93,2.68,4.99,13.11
113,2019-04-03 00:00:00+00:00,1215.35,285.51,19.82,5.17,1.5,1.11,3.63,6.54
114,2019-04-04 00:00:00+00:00,517.29,129.51,20.27,4.01,1.19,0.91,1.55,3.68
115,2019-04-05 00:00:00+00:00,273.08,72.57,16.22,4.58,1.54,1.17,0.53,2.78
116,2019-04-06 00:00:00+00:00,714.37,178.96,34.13,9.37,2.8,1.92,2.18,7.1
117,2019-04-07 00:00:00+00:00,957.59,269.28,74.54,19.97,5.13,3.37,3.62,13.87
118,2019-04-08 00:00:00+00:00,665.3,178.4,41.79,8.23,1.92,1.33,2.23,6.85
119,2019-04-09 00:00:00+00:00,874.1,207.46,33.99,9.84,2.69,1.82,2.45,7.54
120,2019-04-10 00:00:00+00:00,879.29,216.7,40.22,13.13,3.67,2.44,2.49,9.15
121,2019-04-11 00:00:00+00:00,3167.03,643.24,70.35,24.06,6.31,4.17,8.65,20.99
122,2019-04-12 00:00:00+00:00,1842.37,405.3,40.53,14.54,4.13,2.8,5.46,12.91
123,2019-04-13 00:00:00+00:00,2808.73,656.26,88.11,31.49,7.64,5.04,9.25,24.61
124,2019-04-14 00:00:00+00:00,1693.76,385.68,58.07,19.53,5.15,3.45,5.01,14.9
125,2019-04-15 00:00:00+00:00,1184.43,283.63,67.58,22.11,6.01,3.98,3.76,14.87
126,2019-04-16 00:00:00+00:00,1622.8,319.6,36.37,11.72,2.66,1.76,4.22,9.99
127,2019-04-17 00:00:00+00:00,1262.62,290.34,58.55,18.75,4.98,3.31,3.73,13.34
128,2019-04-18 00:00:00+00:00,1101.45,257.98,52.57,16.97,4.69,3.13,3.21,11.92
129,2019-04-19 00:00:00+00:00,631.88,151.47,14.7,4.06,1.26,0.99,1.94,3.78
130,2019-04-20 00:00:00+00:00,2435.4,526.2,54.36,20.52,5.22,3.49,6.54,16.83
131,2019-04-21 00:00:00+00:00,1554.3,382.03,79.48,26.96,6.85,4.54,5.34,18.75
132,2019-04-22 00:00:00+00:00,1476.92,380.66,101.62,32.47,8.31,5.45,5.54,21.75
133,2019-04-23 00:00:00+00:00,2473.56,624.2,114.17,34.88,8.37,5.51,9.37,26.62
134,2019-04-24 00:00:00+00:00,1267.51,349.33,103.22,35.46,9.5,6.26,4.58,21.77
135,2019-04-25 00:00:00+00:00,2340.42,600.62,124.63,41.94,10.69,7.02,8.66,29.18
136,2019-04-26 00:00:00+00:00,1688.83,445.33,96.98,27.62,6.93,4.56,7.01,21.08
137,2019-04-27 00:00:00+00:00,2527.16,649.33,133.26,41.37,10.23,6.79,10.17,30.8
138,2019-04-28 00:00:00+00:00,3104.78,766.43,116.24,37.27,9.03,5.95,11.42,29.83
139,2019-04-29 00:00:00+00:00,2962.27,765.29,116.82,30.28,6.43,4.19,11.45,26.51
140,2019-04-30 00:00:00+00:00,978.17,263.99,63.24,19.0,5.06,3.33,3.63,13.13
141,2019-05-01 00:00:00+00:00,1387.01,351.02,67.96,18.99,4.94,3.29,5.29,15.01
142,2019-05-02 00:00:00+00:00,1090.48,287.3,56.64,14.02,3.68,2.46,4.2,11.62
143,2019-05-03 00:00:00+00:00,1335.34,339.18,60.24,17.62,4.6,3.02,4.89,13.9
144,2019-05-04 00:00:00+00:00,1753.12,379.94,46.56,13.18,3.59,2.4,5.31,12.33
145,2019-05-05 00:00:00+00:00,588.64,153.46,25.52,5.52,1.62,1.18,1.88,4.98
146,2019-05-06 00:00:00+00:00,992.7,256.39,20.58,4.26,1.17,0.91,2.98,5.45
147,2019-05-07 00:00:00+00:00,705.58,146.27,14.65,2.76,0.97,0.82,1.59,3.22
148,2019-05-08 00:00:00+00:00,1351.96,309.77,40.05,6.41,1.39,1.03,4.53,8.36
149,2019-05-09 00:00:00+00:00,1596.39,359.53,61.63,12.65,2.94,1.96,5.55,12.48
150,2019-05-10 00:00:00+00:00,508.69,128.14,21.94,3.07,0.96,0.77,1.48,3.45
151,2019-05-11 00:00:00+00:00,1076.2,294.95,38.31,5.79,1.42,1.02,4.44,8.12
152,2019-05-12 00:00:00+00:00,1100.13,289.49,39.07,6.03,1.45,1.06,4.43,8.18
153,2019-05-13 00:00:00+00:00,1878.73,438.39,27.17,5.71,1.6,1.12,6.14,9.98
154,2019-05-14 00:00:00+00:00,1380.41,316.95,22.51,3.95,1.14,0.91,3.93,6.75
155,2019-05-15 00:00:00+00:00,1562.83,390.15,68.79,15.6,3.74,2.53,6.12,14.5
156,2019-05-16 00:00:00+00:00,1344.74,333.23,58.04,19.18,5.2,3.49,4.35,13.9
157,2019-05-17 00:00:00+00:00,1754.34,318.66,47.62,15.35,4.33,2.88,4.21,12.03
158,2019-05-18 00:00:00+00:00,1170.39,273.31,34.32,9.41,2.5,1.72,3.74,8.66
159,2019-05-19 00:00:00+00:00,630.45,166.53,43.71,13.24,3.84,2.57,1.99,8.69
160,2019-05-20 00:00:00+00:00,2475.44,622.35,78.37,17.04,3.51,2.28,8.79,18.0
161,2019-05-21 00:00:00+00:00,540.81,152.11,43.49,13.67,3.95,2.64,1.63,8.51
162,2019-05-22 00:00:00+00:00,1450.41,348.49,77.47,25.01,6.7,4.39,4.78,17.21
163,2019-05-23 00:00:00+00:00,1979.01,520.87,110.37,36.99,9.45,6.23,7.6,25.6
164,2019-05-24 00:00:00+00:00,1664.69,418.66,65.53,17.76,4.51,3.0,6.26,15.42
165,2019-05-25 00:00:00+00:00,1859.59,457.89,58.64,18.25,4.45,2.99,6.51,15.73
166,2019-05-26 00:00:00+00:00,1395.83,350.94,64.99,21.5,5.95,3.94,4.63,15.45
167,2019-05-27 00:00:00+00:00,1049.76,275.85,50.65,14.98,4.07,2.68,3.74,11.43
168,2019-05-28 00:00:00+00:00,2506.16,619.49,52.15,15.28,3.12,2.1,8.72,16.85
169,2019-05-29 00:00:00+00:00,2456.44,659.85,150.3,37.4,7.76,5.05,10.73,29.94
170,2019-05-30 00:00:00+00:00,1582.42,366.35,43.92,13.61,3.11,2.07,4.84,11.53
171,2019-05-31 00:00:00+00:00,2149.83,508.88,65.78,16.03,3.24,2.11,7.35,15.71
172,2019-06-01 00:00:00+00:00,2393.51,607.78,96.83,25.42,6.04,3.95,9.05,22.51
173,2019-06-02 00:00:00+00:00,2824.3,664.4,41.13,7.93,1.49,0.95,9.32,14.72
174,2019-06-03 00:00:00+00:00,821.02,223.62,37.18,8.22,2.02,1.34,3.08,7.59
175,2019-06-04 00:00:00+00:00,1695.19,434.95,98.41,31.9,8.06,5.3,6.15,21.65
176,2019-06-05 00:00:00+00:00,1758.51,462.37,99.89,33.87,8.79,5.75,6.54,22.93
177,2019-06-06 00:00:00+00:00,1466.51,311.35,56.08,18.3,5.07,3.34,4.07,13.3
