,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2020-09-08 00:00:00+00:00,9616.97,3011.38,780.11,57.0,8.01,2.77,40.84,74.78
1,2020-09-09 00:00:00+00:00,,,,,,,,
2,2020-09-10 00:00:00+00:00,,,,,,,,
3,2020-09-11 00:00:00+00:00,,,,,,,,
4,2020-09-12 00:00:00+00:00,,,,,,,,
5,2020-09-13 00:00:00+00:00,,,,,,,,
6,2020-09-14 00:00:00+00:00,10267.81,3058.12,1051.38,128.21,28.37,12.09,37.25,97.32
7,2020-09-15 00:00:00+00:00,6399.62,1904.38,637.82,67.77,12.97,5.37,26.42,63.5
8,2020-09-16 00:00:00+00:00,816.69,236.7,53.75,2.82,0.57,0.27,3.97,7.05
9,2020-09-17 00:00:00+00:00,479.05,138.08,27.75,1.45,0.33,0.16,1.8,3.35
10,2020-09-18 00:00:00+00:00,1039.55,304.92,82.28,4.37,0.84,0.39,5.11,10.04
11,2020-09-19 00:00:00+00:00,1114.18,323.36,75.87,4.37,0.96,0.44,5.54,10.19
12,2020-09-20 00:00:00+00:00,3063.23,883.08,176.77,7.27,1.31,0.57,16.56,26.97
13,2020-09-21 00:00:00+00:00,3921.81,1138.02,246.42,11.21,1.93,0.82,20.53,36.07
14,2020-09-22 00:00:00+00:00,629.05,181.14,37.97,2.63,0.69,0.35,2.65,5.08
15,2020-09-23 00:00:00+00:00,268.96,75.07,9.95,0.84,0.28,0.15,0.54,1.18
16,2020-09-24 00:00:00+00:00,242.28,68.58,12.36,0.92,0.24,0.12,0.47,1.2
17,2020-09-25 00:00:00+00:00,349.8,99.41,21.15,2.43,0.8,0.43,0.94,2.68
18,2020-09-26 00:00:00+00:00,398.98,112.63,20.71,2.17,0.73,0.39,1.22,2.84
19,2020-09-27 00:00:00+00:00,687.5,194.13,31.17,2.18,0.64,0.34,2.97,4.93
20,2020-09-28 00:00:00+00:00,2041.19,569.84,77.89,3.2,0.75,0.37,10.9,14.79
21,2020-09-29 00:00:00+00:00,1809.45,507.36,69.92,2.74,0.68,0.33,9.67,13.07
22,2020-09-30 00:00:00+00:00,2765.12,806.22,190.71,7.58,1.12,0.43,13.54,22.51
23,2020-10-01 00:00:00+00:00,8915.3,2620.84,656.26,34.86,4.74,1.82,37.25,68.8
