,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2020-09-14 00:00:00+00:00,18547.5,5461.64,1088.28,79.8,20.58,2.91,75.98,125.8
1,2020-09-15 00:00:00+00:00,10191.07,2935.35,459.26,28.95,6.41,0.93,41.59,63.18
2,2020-09-16 00:00:00+00:00,633.62,179.61,30.8,2.98,0.92,0.38,2.37,4.87
3,2020-09-17 00:00:00+00:00,,,,,,,,
4,2020-09-18 00:00:00+00:00,,,,,,,,
5,2020-09-19 00:00:00+00:00,,,,,,,,
6,2020-09-20 00:00:00+00:00,,,,,,,,
7,2020-09-21 00:00:00+00:00,,,,,,,,
8,2020-09-22 00:00:00+00:00,,,,,,,,
9,2020-09-23 00:00:00+00:00,,,,,,,,
10,2020-09-24 00:00:00+00:00,,,,,,,,
11,2020-09-25 00:00:00+00:00,,,,,,,,
12,2020-09-26 00:00:00+00:00,,,,,,,,
13,2020-09-27 00:00:00+00:00,,,,,,,,
14,2020-09-28 00:00:00+00:00,,,,,,,,
15,2020-09-29 00:00:00+00:00,,,,,,,,
16,2020-09-30 00:00:00+00:00,,,,,,,,
17,2020-10-01 00:00:00+00:00,,,,,,,,
