,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2020-09-09 00:00:00+00:00,8127.88,2410.01,597.45,52.17,13.6,5.69,32.42,60.95
1,2020-09-10 00:00:00+00:00,,,,,,,,
2,2020-09-11 00:00:00+00:00,,,,,,,,
3,2020-09-12 00:00:00+00:00,,,,,,,,
4,2020-09-13 00:00:00+00:00,,,,,,,,
5,2020-09-14 00:00:00+00:00,,,,,,,,
6,2020-09-15 00:00:00+00:00,8170.17,2407.97,403.87,21.12,4.78,2.03,35.13,52.83
7,2020-09-16 00:00:00+00:00,,,,,,,,
8,2020-09-17 00:00:00+00:00,,,,,,,,
9,2020-09-18 00:00:00+00:00,,,,,,,,
10,2020-09-19 00:00:00+00:00,,,,,,,,
11,2020-09-20 00:00:00+00:00,,,,,,,,
12,2020-09-21 00:00:00+00:00,,,,,,,,
13,2020-09-22 00:00:00+00:00,,,,,,,,
14,2020-09-23 00:00:00+00:00,,,,,,,,
15,2020-09-24 00:00:00+00:00,,,,,,,,
16,2020-09-25 00:00:00+00:00,,,,,,,,
17,2020-09-26 00:00:00+00:00,460.51,132.15,34.32,5.26,1.85,1.05,1.33,4.82
18,2020-09-27 00:00:00+00:00,909.18,260.19,55.84,6.25,2.2,1.19,4.15,8.86
19,2020-09-28 00:00:00+00:00,4116.87,1166.51,190.37,11.52,3.17,1.5,20.28,33.88
20,2020-09-29 00:00:00+00:00,838.69,239.85,45.67,3.05,0.79,0.37,3.85,6.73
21,2020-09-30 00:00:00+00:00,2460.66,721.3,188.74,15.83,3.69,1.64,12.55,26.0
22,2020-10-01 00:00:00+00:00,6733.35,1964.94,485.93,38.82,9.01,4.06,29.24,60.1
