,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2018-12-12 00:00:00+00:00,5838.53,1946.18,755.57,103.61,25.21,3.36,25.21,3.36
1,2018-12-13 00:00:00+00:00,362.39,120.8,43.26,7.09,2.39,0.97,2.39,0.97
2,2018-12-14 00:00:00+00:00,,,,,,,,
3,2018-12-15 00:00:00+00:00,,,,,,,,
4,2018-12-16 00:00:00+00:00,,,,,,,,
5,2018-12-17 00:00:00+00:00,,,,,,,,
6,2018-12-18 00:00:00+00:00,,,,,,,,
7,2018-12-19 00:00:00+00:00,,,,,,,,
8,2018-12-20 00:00:00+00:00,,,,,,,,
9,2018-12-21 00:00:00+00:00,,,,,,,,
10,2018-12-22 00:00:00+00:00,,,,,,,,
11,2018-12-23 00:00:00+00:00,,,,,,,,
12,2018-12-24 00:00:00+00:00,,,,,,,,
13,2018-12-25 00:00:00+00:00,,,,,,,,
14,2018-12-26 00:00:00+00:00,,,,,,,,
15,2018-12-27 00:00:00+00:00,,,,,,,,
16,2018-12-28 00:00:00+00:00,,,,,,,,
17,2018-12-29 00:00:00+00:00,,,,,,,,
18,2018-12-30 00:00:00+00:00,,,,,,,,
19,2018-12-31 00:00:00+00:00,,,,,,,,
20,2019-01-01 00:00:00+00:00,,,,,,,,
21,2019-01-02 00:00:00+00:00,,,,,,,,
22,2019-01-03 00:00:00+00:00,,,,,,,,
23,2019-01-04 00:00:00+00:00,3954.98,1318.33,318.37,27.25,3.96,0.56,24.02,49.55
24,2019-01-05 00:00:00+00:00,632.71,210.9,42.22,4.45,1.22,0.55,3.4,6.83
25,2019-01-06 00:00:00+00:00,209.28,69.76,22.72,4.67,1.64,0.61,0.46,3.04
26,2019-01-07 00:00:00+00:00,189.48,63.16,16.81,3.14,1.24,0.6,0.44,2.16
27,2019-01-08 00:00:00+00:00,646.75,215.58,37.39,3.3,1.0,0.58,3.37,5.94
28,2019-01-09 00:00:00+00:00,233.04,77.68,22.22,4.28,1.56,0.6,0.6,3.02
29,2019-01-10 00:00:00+00:00,800.63,266.88,73.1,7.83,2.05,0.62,4.11,10.32
30,2019-01-11 00:00:00+00:00,1145.09,381.7,86.27,7.69,1.82,0.61,6.51,13.21
31,2019-01-12 00:00:00+00:00,1403.23,467.74,107.37,7.2,1.28,0.5,8.26,15.75
32,2019-01-13 00:00:00+00:00,307.78,102.59,18.61,1.8,0.77,0.46,1.21,2.47
33,2019-01-14 00:00:00+00:00,1089.18,363.06,61.9,3.87,0.86,0.56,6.32,10.2
34,2019-01-15 00:00:00+00:00,220.88,73.63,12.64,1.38,0.69,0.47,0.7,1.5
35,2019-01-16 00:00:00+00:00,145.7,48.57,11.66,2.09,0.93,0.48,0.26,1.3
36,2019-01-17 00:00:00+00:00,407.21,135.74,50.09,10.6,3.66,0.76,1.54,7.65
37,2019-01-18 00:00:00+00:00,413.0,137.67,43.64,8.44,2.75,0.68,1.48,6.45
38,2019-01-19 00:00:00+00:00,676.04,225.35,56.48,8.63,2.62,0.66,3.22,8.75
39,2019-01-20 00:00:00+00:00,309.97,103.32,22.61,3.01,1.11,0.53,1.24,3.12
40,2019-01-21 00:00:00+00:00,126.67,42.22,13.11,2.7,1.06,0.56,0.2,1.4
41,2019-01-22 00:00:00+00:00,177.89,59.3,12.31,1.83,0.83,0.44,0.31,1.34
42,2019-01-23 00:00:00+00:00,711.07,237.02,37.54,3.14,0.9,0.53,3.76,6.41
43,2019-01-24 00:00:00+00:00,1329.09,443.03,72.17,4.9,1.06,0.51,8.17,13.04
44,2019-01-25 00:00:00+00:00,1818.06,606.02,107.64,6.72,1.24,0.43,11.35,18.63
45,2019-01-26 00:00:00+00:00,789.66,263.22,37.79,2.5,0.76,0.49,4.3,6.53
46,2019-01-27 00:00:00+00:00,3471.94,1157.31,233.4,14.0,2.13,0.56,19.94,35.66
47,2019-01-28 00:00:00+00:00,1570.72,523.57,86.18,5.49,1.21,0.49,9.44,14.84
48,2019-01-29 00:00:00+00:00,953.96,317.99,53.55,4.3,1.25,0.58,5.4,8.99
49,2019-01-30 00:00:00+00:00,1360.08,453.36,104.99,8.01,1.65,0.56,7.9,15.5
50,2019-01-31 00:00:00+00:00,1365.5,455.17,107.84,7.79,1.54,0.55,7.91,15.56
51,2019-02-01 00:00:00+00:00,443.73,147.91,32.25,2.75,0.89,0.53,2.09,4.3
52,2019-02-02 00:00:00+00:00,189.9,63.3,14.61,2.4,0.99,0.57,0.46,1.77
53,2019-02-03 00:00:00+00:00,133.55,44.52,10.7,1.86,0.83,0.5,0.24,1.13
54,2019-02-04 00:00:00+00:00,95.28,31.76,9.35,1.93,0.84,0.51,0.18,0.92
55,2019-02-05 00:00:00+00:00,94.79,31.6,7.71,1.39,0.7,0.52,0.27,0.7
56,2019-02-06 00:00:00+00:00,149.56,49.85,12.17,2.06,0.86,0.53,0.24,1.3
57,2019-02-07 00:00:00+00:00,558.85,186.28,31.41,3.26,1.01,0.51,2.78,5.26
58,2019-02-08 00:00:00+00:00,312.38,104.13,17.51,1.87,0.78,0.52,1.17,2.45
59,2019-02-09 00:00:00+00:00,263.74,87.91,15.6,1.48,0.7,0.45,1.13,2.18
60,2019-02-10 00:00:00+00:00,100.69,33.56,10.12,2.01,0.86,0.5,0.18,0.98
61,2019-02-11 00:00:00+00:00,196.62,65.54,14.68,2.39,0.91,0.56,0.47,1.79
62,2019-02-12 00:00:00+00:00,470.69,156.9,25.97,2.63,0.84,0.5,2.18,4.21
