,created_at,0.3um/dl,0.5um/dl,1.0um/dl,2.5um/dl,5.0um/dl,10.0um/dl,PM1.0_CF_1_ug/m3,PM10.0_CF_1_ug/m3
0,2020-09-21 00:00:00+00:00,16140.15,4779.79,1032.35,68.25,19.09,11.67,67.5,113.7
1,2020-09-22 00:00:00+00:00,6943.15,2060.44,415.44,21.98,5.69,3.06,29.62,46.98
2,2020-09-23 00:00:00+00:00,,,,,,,,
3,2020-09-24 00:00:00+00:00,,,,,,,,
4,2020-09-25 00:00:00+00:00,,,,,,,,
5,2020-09-26 00:00:00+00:00,,,,,,,,
6,2020-09-27 00:00:00+00:00,,,,,,,,
7,2020-09-28 00:00:00+00:00,,,,,,,,
8,2020-09-29 00:00:00+00:00,,,,,,,,
9,2020-09-30 00:00:00+00:00,,,,,,,,
10,2020-10-01 00:00:00+00:00,20401.45,5973.31,1507.71,89.55,19.92,11.03,80.45,142.3
